Cross 1, Cross 2, Cross 3, Cross 4, Cross 5, Cross 6
105,48,30,62,31,110
97,41,32,55,42,103
76,47,44,58,40,100
98,40,39,59,43,104
87,41,47,49,35,112
80,40,35,63,34,89
92,46,39,58,26,98
80,31,21,45,29,93
91,55,35,46,26,89
75,42,26,77,32,48
48,24,15,38,19,61
61,31,17,33,16,54
60,32,23,53,19,64
59,25,22,28,21,60
42,10,14,27,17,42
55,24,24,31,16,47
38,15,26,32,23,61
42,26,18,29,25,55
47,27,15,47,14,48
36,15,16,30,18,43
37,14,11,28,10,33
34,18,6,20,12,48
27,16,14,23,12,37
34,14,14,24,12,41
25,9,7,9,5,25
33,17,11,28,12,36
34,15,12,26,10,21
17,9,12,22,9,28
29,16,18,18,10,28
24,13,6,22,5,34
23,14,10,23,11,38
31,16,8,15,5,23
23,12,8,16,12,27
20,5,9,17,11,30
22,16,4,16,6,19
25,10,5,40,4,26
15,1,9,7,10,27
17,7,9,13,12,18
22,9,6,12,5,30
16,5,7,11,5,17
22,10,5,16,3,19
16,5,2,18,2,18
16,1,5,8,5,19
9,8,5,12,6,8
16,8,4,7,7,15
10,4,8,14,8,23
11,9,3,11,1,18
14,4,7,7,3,13
15,5,6,10,2,25
22,2,5,8,6,18
20,2,4,13,3,14
18,12,3,14,3,23
21,10,11,12,8,21
18,4,5,13,4,13
15,3,7,10,10,13
24,10,5,13,1,18
18,8,5,8,5,13
15,6,11,8,6,19
9,4,4,10,3,15
15,3,5,5,6,26
15,6,5,13,6,18
16,3,5,5,4,15
14,2,5,7,2,23
12,5,6,11,3,23
19,4,10,11,7,13
17,5,8,9,1,24
40,12,6,13,5,18
23,15,5,15,2,16
29,13,8,12,6,9
18,9,12,18,7,25
31,11,7,13,2,19
23,11,13,15,5,22
41,15,15,8,3,18
23,17,11,27,8,17
34,16,21,15,2,17
37,18,19,19,6,32
33,18,19,21,7,32
45,25,15,24,2,25
33,20,32,19,12,33
30,20,18,25,7,25
42,24,21,16,9,25
35,23,21,30,13,37
51,26,22,29,9,26
44,27,23,24,14,36
62,36,21,31,5,24
58,33,27,27,8,38
45,29,22,32,12,32
69,32,35,34,15,59
56,44,33,45,16,57
56,28,33,33,18,48
87,48,29,47,13,53
72,48,28,41,22,64
90,39,36,50,18,67
75,46,37,46,34,58
85,49,41,48,21,77
85,51,48,53,24,50
69,48,51,36,30,71
84,59,37,72,23,73
99,55,58,58,24,79
98,61,61,65,27,46
99,71,40,79,35,94
85,58,51,60,44,99
101,77,44,80,41,88
102,63,54,65,33,91
110,83,59,82,47,93
125,67,45,78,20,111
99,76,57,75,37,93
110,86,38,81,44,120
135,79,60,88,43,115
102,70,51,94,61,111
124,79,52,72,41,89
125,81,50,83,34,131
118,60,54,86,47,128
153,91,45,82,43,136
151,99,61,75,38,126
139,86,52,89,43,98
120,83,59,93,42,121
146,96,49,110,44,128
122,82,69,98,44,147
155,84,38,67,37,156
137,86,61,95,41,120
148,80,58,107,46,135
122,91,51,96,43,140
133,86,55,72,40,137
171,91,50,85,29,143
155,83,56,85,41,142
122,107,57,90,37,118
121,68,47,104,49,135
145,97,56,109,53,128
136,84,41,92,47,108
155,86,52,101,37,149
141,92,72,99,53,112
123,93,53,75,39,185
136,84,43,93,36,129
120,75,61,101,35,144
133,75,39,74,43,113
123,65,53,81,45,165
140,94,38,87,36,147
168,117,61,103,50,139
160,97,58,99,55,120
127,86,41,93,37,164
176,115,48,118,40,141
151,85,52,113,50,147
125,82,51,84,52,113
136,81,56,89,46,141
135,92,54,93,52,128
127,77,36,58,43,118
134,84,56,97,36,124
129,83,43,101,45,105
122,84,54,96,30,116
151,74,41,91,41,124
127,88,38,92,29,131
133,86,39,58,48,123
106,50,47,69,39,137
132,79,46,75,35,119
136,88,61,91,39,153
122,62,47,92,52,131
127,93,52,93,41,120
121,86,44,87,36,120
132,80,69,98,39,109
148,94,46,67,39,162
149,104,50,92,35,142
132,72,66,87,47,128
153,83,54,83,24,147
125,93,56,86,42,114
145,97,61,106,53,138
155,93,65,93,51,167
131,110,46,94,38,159
148,88,53,99,42,130
142,97,51,107,40,130
168,99,55,110,41,142
143,99,50,73,48,170
163,84,67,104,48,147
173,116,44,114,36,135
128,88,59,85,47,147
137,87,52,84,38,150
158,83,77,100,52,126
145,104,50,118,47,172
143,110,59,98,50,150
165,82,54,98,43,139
156,103,50,113,38,131
154,97,54,120,41,142
146,97,48,57,40,149
144,86,56,107,60,157
124,89,46,104,33,127
140,107,64,95,37,143
150,102,47,101,45,148
173,86,60,132,50,158
147,105,70,111,68,139
149,110,59,84,56,125
159,73,48,103,55,121
175,78,64,88,26,180
142,116,70,109,47,133
179,82,54,86,44,130
132,90,53,119,42,156
173,97,44,98,44,160
152,115,68,115,62,130
162,95,67,101,45,175
153,98,43,124,53,144
122,92,72,88,55,126
169,85,55,94,46,182
157,110,61,105,50,126
158,96,54,82,54,141
156,93,58,107,45,178
151,110,50,103,47,138
160,85,60,111,38,142
157,92,57,83,59,179
145,86,54,119,47,113
140,111,70,100,38,152
165,93,37,82,52,149
172,94,51,121,41,116
133,100,54,96,49,170
175,111,64,110,50,188
174,77,54,132,47,121
154,112,71,95,70,198
170,101,60,96,50,185
181,88,59,111,57,110
160,103,60,126,44,172
161,114,51,87,51,184
183,86,72,117,51,122
159,110,73,111,53,160
178,118,59,106,51,184
173,97,55,111,51,130
143,103,63,108,48,153
154,111,62,128,49,161
137,102,53,96,37,126
156,70,56,105,47,172
166,109,61,115,48,171
141,103,36,84,41,139
123,67,72,106,45,132
174,89,47,82,42,129
149,68,50,125,39,168
141,61,38,76,39,115
141,86,66,82,49,118
137,73,61,83,51,124
145,71,51,108,27,159
142,71,44,71,41,114
138,84,57,94,54,126
132,71,51,97,41,149
140,79,55,79,60,142
135,64,54,81,52,161
107,45,49,74,40,130
143,57,44,76,47,114
143,87,53,71,41,150
147,72,54,83,40,124
133,73,51,86,31,120
138,77,44,89,54,132
157,82,43,95,40,126
136,80,42,94,42,141
123,75,64,96,35,141
159,54,35,68,29,107
155,72,59,75,40,142
160,81,48,98,38,128
130,67,59,98,51,152
127,71,41,66,52,138
126,58,36,80,26,114
134,44,36,73,39,107
140,66,57,72,30,117
141,85,38,69,39,112
128,72,48,85,27,124
135,85,34,96,33,129
142,43,34,70,37,109
102,56,40,70,22,133
